"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Product Image ID - 10","Product Image File - 10","Product Image Description - 10","Product Image Is Thumbnail - 10","Product Image Sort - 10","Product Image ID - 11","Product Image File - 11","Product Image Description - 11","Product Image Is Thumbnail - 11","Product Image Sort - 11","Product Image ID - 12","Product Image File - 12","Product Image Description - 12","Product Image Is Thumbnail - 12","Product Image Sort - 12","Product Image ID - 13","Product Image File - 13","Product Image Description - 13","Product Image Is Thumbnail - 13","Product Image Sort - 13","Product Image ID - 14","Product Image File - 14","Product Image Description - 14","Product Image Is Thumbnail - 14","Product Image Sort - 14","Product Image ID - 15","Product Image File - 15","Product Image Description - 15","Product Image Is Thumbnail - 15","Product Image Sort - 15","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,2681,"Thule Awning Omnistor 6300 12v Motor Kit ",P,MotorKit,,Thule,"Thule Omnistor 6300 Motor Kit colour",Right,"<h1>Thule Omnistor 6300 12v Motor Kit</h1> <h2>The perfect upgrade for the Omnistor 6300</h2> <p>This Omnistor 6300 12V motor kit makes it easy to set up your home away from home. This motorised kit is capable of automatically deploying a Thule Omnistor 6300 awning, saving you the trouble of deploying the awning fabric.&nbsp;</p> <h2>Versatile control</h2> <p>Even with this motor installed, you still have the option to manually override the motor and pitch your awning by hand. An optional relay can also be connected to your vehicle, which prevents the awning motor from deploying the awning when your vehicle is moving. The awning also comes in multiple colours to match your existing Omnistor awning, and only weighs an extra 1kg.</p> <h3>Thule Omnistor 6300 12v Motor Kit Features:</h3> <ul> <li>Can be retrofitted to Thule Omnistor 6300 awnings</li> <li>Only 3cm additional length to awning cassette</li> <li>Weighs 1kg</li> <li>Optional relay to prevent deployment when vehicle is in motion</li> <li>Multiple colour options available</li> <li>Product no. 308096, 308097, 308098</li> </ul>",399.95,0.00,0.00,0.00,0.0000,N,,2.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Awnings ;Awnings /Wind Out Awnings/Thule Awnings;Awnings /Wind Out Awnings/Thule Awnings/Thule Accessories",20337,m/015/MotorKit__31758.jpg,"Thule Omnistor 6300 Motor kit in available colours",N,0,11910,k/975/motorkit-6300-scaled__33065.jpg,,Y,1,11911,z/894/Thule_Motor_Kit_TO_5200_Anodised_301297__79454.png,"Thule Omnistor 6300 Motor kit in anodised colour",N,2,11912,x/218/Thule_Motor_Kit_TO_5200_White_301296__87825.png,"Thule Omnistor 6300 Motor kit in white colour",N,3,11913,e/787/Thule_Motor_Kit_TO_5200_Anthracite_301298__27498.png,"Thule Omnistor 6300 Motor kit in Anthracite colour",N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thule, Omnistor, 6300, awning, motor, 12v, automatic, kit, retrofit, ","Thule Omnistor 6300 Roof Mounted Awning 12v Motor Kit","Thule, Omnistor, 6300, 12v, motor, kit, automatic, retrofit, ","12 volt motor kit for Thule Omnistor 6300 6200 roof mounted awning",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/caravan/motorhome/awnings/thule/omnistor/6300/12v/motor-kit/,,,,,Voltage=12V
"  SKU",8601,[S]Color=White,,302096,,,,,,,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",8602,[S]Color=Anodised,,302097,,,,,,,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",8603,[S]Color=Anthracite,,302098,,,,,,,0.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",14032,,,302096,,,,,,,,,,,,,,,,,Y,Y,,,,,,,14032_source_1714398601.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",14033,,,302097,,,,,,,,,,,,,,,,,Y,Y,,,,,,,14033_source_1714398611.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
"  Rule",14034,,,302098,,,,,,,,,,,,,,,,,Y,Y,,,,,,,14034_source_1714398622.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,
Product,2683,"Fiamma F45s Awning Bracket Ducato Boxer Relay H2 L2/ L3/ L4 Campervan with Roof Bars ",P,98655-485,,Fiamma,,Right,"<h1 style=""text-align: justify;"">Fiamma F45s Awning Adapter Kit for Ducato Boxer Relay H2 Campervans with Roof Bars</h1> <p style=""text-align: justify;"">The <strong>Fiamma F45s Awning Adapter Kit</strong> is designed for the 2006 onwards Fiat Ducato, Citroen Jumper and Peugeot Boxer campervan with an already existing roof rack, suitable for a campervan H2 roof and a short, medium, long and extra-long wheel base (L1/ L2/L3/L4) camper van.</p> <h2 style=""text-align: justify;"">Should I go for the Fiamma F80s or the F45s awning?</h2> <p style=""text-align: justify;"">In most situations the Fiamma F80s awning and F80s adapter kit is the preferred option against the F45 since this uses the already existing fixing points on the camper van meaning there's no need to drill into the body.&nbsp; Please note the Fiamma F8Os awning is not compatible with campervans that already have a roof rack as they use the same fixing points, it's either one or the other.</p> <h3 style=""text-align: justify;"">The Fiamma F45s can be used along side a roof rack</h3> <p style=""text-align: justify;"">The <em>Fiamma F45s Awning Adapter Kit</em> however allows for the Fiamma F45s awning to sit on the edge of the roof, this clears the existing fixing points which means it can be used along side a roof rack.</p> <h3>Sizes</h3> <ul> <li>Ducato, Jumper, Boxer L2 (Vehicle Length 5416mm): Fiamma F45s 300cm</li> <li>Ducato, Jumper, Boxer L3 (Vehicle Length 5998mm): Fiamma F45s 375cm</li> <li>Ducato, Jumper, Boxer L4 (Vehicle Length 6363mm): Fiamma F45s 400cm</li> </ul> <h3>Manual:</h3> <p><a title=""Fiamma F45 bracket manual"" href=""https://www.jacksonsleisure.com/content/pdf/fiamma/adapters/fiamma-f45-ducato-adapter-manual-98655-485.pdf"" target=""_blank""><img class=""__mce_add_custom__"" title=""Fiamma F45 bracket manual"" src=""https://cdn11.bigcommerce.com/s-fkhd5nhp/product_images/uploaded_images/download-manual.jpg"" alt=""Fiamma F45 bracket manual"" width=""202"" height=""73"" /></a></p>",67.95,0.00,0.00,0.00,0.0000,N,,0.1000,0.0000,0.0000,0.0000,Y,Y,"The Fiamma F45s Awning Bracket Is Sent on a 2-3 Working Day Delivery",none,23,0,"Awnings /Wind Out Awnings/Fiamma Awnings/Awning Adapters & Fixing Kits/F45 Adapters & Fixing Kits;Caravan, Campervan & Motorhome/Conversion Equipment/Campervan Specific/Ducato\/ Boxer\/ Relay/Awnings",11767,u/320/98655-485__62503.jpg,"Fiamma F45s Awning Bracket Ducato Boxer Relay with Roof Bars 98655-485",Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98655-485, F45s, Ducato, Boxer, Relay,","Fiamma F45s Awning Bracket Ducato Boxer Relay Campervan with Roof Bars 98655-485","Fiamma, F45s, Awning, Ducato, Boxer, Relay, Roof Bars, 98655-485 ","Fiamma F45s Awning Bracket Ducato Boxer Relay Campervan with Roof Bars 98655-485 ",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/fiamma/f45s/ducato/awning/bracket/roof/bar/kit/,,,,,"fbt-product=/caravan-motorhome/fiamma-f45s-campervan-and-motorhome-wall-mount-awning/;""Brackets Included=3 brackets of 12 cm"""
Product,2684,"Pyranha Surfjet Deluxe Kayak Seat",P,SURFJET-DS,,Pyranha,,Right,"<h1>Pyranha Surfjet 2.0 Deluxe Seat&nbsp;&nbsp;</h1> <h2><span>Genuine Pyranha accessory for the Surfjet 2.0 sit on top kayak</span></h2> <p><span style=""font-size: small;"">The deluxe seat features a high back and padded seat for a comfortable paddling experience. Whether you are using your boat to go fishing or to explore lakes, gentle rivers or a bay then the deluxe seat is the perfect accessory to your kayak.</span></p> <h3>&nbsp;&nbsp;</h3>",59.95,0.00,0.00,0.00,0.0000,N,"All Pyranha Surfjet kayak accessories come with a 12 month manufacturers warranty.",0.1000,0.0000,0.0000,0.0000,Y,N,"Pyranha Surfjet accessories are sent via next working day delivery  ","by product",0,0,"Kayaks\/SUPS/Kayaks/Sit On Top",11793,a/240/pyranha-surfjet-deluxe-seat__08236.jpg,"Pyranha deluxe seat for Surf Jet sit on top kayak ",Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pyranha Surfjet, Kayak Seat, Deluxe Seat","Pyranha Surfjet 2.0 Deluxe Sit on Top Kayak Seat ","Pyranha surfjet, Pyranha accessories, kayak accessory, ","Genuine Pyranha accessories for the Surfjet 2.0 sit on top kayak including deluxe high back seat, wheel, deck pod, fishing kit, surf straps and deck lines. ",,,,New,N,N,,N,,,0,"Default Tax Class",,N,/kayaks/sit-on-top/surfjet/deluxe/seat/,,,,,
Product,2685,"Dometic Fridge Hinge for Internal Freezer Compartment - 241212500",P,241212500,,Dometic,,Right,"<h1>Dometic Replacement Freezer Internal Hinge</h1> <p>Spare hinge for Dometic RM 6 &amp; 7 Series Refrigerators (evaporator flap). This hinge is a suitable replacement for the internal freezer compartment.</p> <p>EAN: 0713814213633</p> <p>Part no. 241212500</p> <h3>Did you know?</h3> <p>Not all spare parts are universal! To ensure the right fit for your appliance, it&rsquo;s important to verify compatibility before ordering.</p> <p>Still unsure? Contact us via phone or message with your appliance details and any information from the sticker (model number, production number, SKU, and serial number). Remember, model variations exist, and the year of production can impact compatibility. Contact us before ordering for any concerns.</p> <p><strong>Must be fitted by qualified technical trained operatives only</strong></p>",19.95,0.00,0.00,0.00,0.0000,N,,0.0200,0.0000,0.0000,0.0000,Y,Y,,none,29,0,"Spares/Dometic Spares;Spares/Dometic Spares/Dometic Fridge Spares",11789,j/315/Dometic-241212500__08856.jpg,"Dometic freezer hinge flap",Y,0,12807,j/211/dometic-hinge-241212500__63090.jpg,"Dometic freezer hinge flap for internal freezer compartment",N,1,12808,h/023/dometic-hinge-241212500-side__57206.jpg,"Dometic freezer hinge flap for RM 7000 and RM 6000 fridges",N,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dometic Fridge Hinge for Internal Freezer Compartment","Dometic, Fridge, Hinge, 241212500, freezer, evaporator, flap, door, internal, 0713814213633,","Dometic Spare Fridge Hinge 241212500 for freezer evaporator flap SENT NEXT WORKING DAY",,,,New,N,N,,N,,,0,"Default Tax Class",0713814213633,N,/dometic/spare/fridge/hinge/241212500/freezer/evaporator/flap/,,,241212500,,
